GENEID	DE_STATUS
FBGN0041629	TRUE
FBGN0259111	TRUE
FBGN0001114	TRUE
FBGN0261602	TRUE
FBGN0010470	TRUE
FBGN0027596	TRUE
FBGN0041342	TRUE
FBGN0033188	TRUE
FBGN0039637	TRUE
FBGN0086906	TRUE
FBGN0013576	TRUE
FBGN0036732	TRUE
FBGN0020248	TRUE
FBGN0264693	TRUE
FBGN0052681	TRUE
FBGN0266452	TRUE
FBGN0031055	TRUE
FBGN0038381	TRUE
FBGN0031285	TRUE
FBGN0261278	TRUE
FBGN0034391	TRUE
FBGN0030326	TRUE
FBGN0260486	TRUE
FBGN0010395	TRUE
FBGN0260933	TRUE
FBGN0013765	TRUE
FBGN0267824	TRUE
FBGN0025628	TRUE
FBGN0266418	TRUE
FBGN0003447	TRUE
FBTI0062912	TRUE
FBGN0039593	TRUE
FBGN0014869	TRUE
FBGN0031548	TRUE
FBGN0027561	TRUE
FBGN0265194	TRUE
FBGN0263916	TRUE
FBGN0003525	TRUE
FBGN0000579	TRUE
FBGN0000416	TRUE
FBGN0266801	TRUE
FBGN0025681	TRUE
FBGN0033113	TRUE
FBGN0286782	TRUE
FBGN0015777	TRUE
FBGN0003317	TRUE
FBGN0032635	TRUE
FBGN0010382	TRUE
FBGN0010316	TRUE
FBGN0025836	TRUE
FBGN0265512	TRUE
FBGN0039485	TRUE
FBGN0034067	TRUE
FBGN0000146	TRUE
FBGN0002778	TRUE
FBGN0261563	TRUE
FBGN0259246	TRUE
FBGN0013680	TRUE
FBGN0033777	TRUE
FBGN0039381	TRUE
FBGN0027836	TRUE
FBGN0250906	TRUE
FBGN0032451	TRUE
FBGN0264305	TRUE
FBGN0010894	TRUE
FBGN0011259	TRUE
FBGN0030662	TRUE
FBGN0014906	TRUE
FBGN0035879	TRUE
FBGN0085446	TRUE
FBGN0020493	TRUE
FBGN0024150	TRUE
FBGN0011016	TRUE
FBGN0000043	TRUE
FBGN0016075	TRUE
FBGN0033649	TRUE
FBGN0028543	TRUE
FBGN0013688	TRUE
FBGN0000405	TRUE
FBGN0031888	TRUE
FBGN0024250	TRUE
FBGN0032105	TRUE
FBGN0040290	TRUE
FBGN0035001	TRUE
FBGN0036576	TRUE
FBGN0039101	TRUE
FBGN0028563	TRUE
FBGN0038720	TRUE
FBGN0010222	TRUE
FBGN0031489	TRUE
FBGN0031738	TRUE
FBGN0037223	TRUE
FBGN0032005	TRUE
FBGN0037607	TRUE
FBGN0027865	TRUE
FBGN0000447	TRUE
FBGN0026084	TRUE
FBGN0022338	TRUE
FBGN0041180	TRUE
FBGN0010223	TRUE
FBGN0027597	TRUE
FBGN0283680	TRUE
FBGN0261258	TRUE
FBGN0010097	TRUE
FBGN0039494	TRUE
FBGN0037240	TRUE
FBGN0046763	TRUE
FBGN0033368	TRUE
FBGN0034694	TRUE
FBGN0033926	TRUE
FBGN0051352	TRUE
FBGN0031461	TRUE
FBGN0033079	TRUE
FBGN0260960	TRUE
FBGN0027525	TRUE
FBGN0000565	TRUE
FBGN0063493	TRUE
FBGN0087007	TRUE
FBGN0261547	TRUE
FBGN0035020	TRUE
FBGN0035084	TRUE
FBGN0031637	TRUE
FBGN0004197	TRUE
FBGN0020386	TRUE
FBGN0013770	TRUE
FBGN0050085	TRUE
FBGN0037850	TRUE
FBGN0033362	TRUE
FBGN0261545	TRUE
FBGN0038256	TRUE
FBGN0262103	TRUE
FBGN0259110	TRUE
FBGN0037844	TRUE
FBGN0036862	TRUE
FBGN0030362	TRUE
FBGN0028490	TRUE
FBGN0033446	TRUE
FBGN0038545	TRUE
FBGN0034476	TRUE
FBGN0032156	TRUE
FBGN0039026	TRUE
FBGN0086358	TRUE
FBGN0267727	TRUE
FBGN0036752	TRUE
FBGN0265042	TRUE
FBGN0030752	TRUE
FBGN0264343	TRUE
FBGN0266377	TRUE
FBGN0265048	TRUE
FBGN0259734	TRUE
FBGN0015795	TRUE
FBGN0022382	TRUE
FBGN0034398	TRUE
FBGN0027843	TRUE
FBGN0032899	TRUE
FBGN0029608	TRUE
FBGN0032330	TRUE
FBGN0038237	TRUE
FBGN0015576	TRUE
FBGN0020618	TRUE
FBGN0041604	TRUE
FBGN0270926	TRUE
FBGN0030052	TRUE
FBGN0086687	TRUE
FBGN0027590	TRUE
FBGN0020414	TRUE
FBGN0000256	TRUE
FBGN0010786	TRUE
FBGN0023477	TRUE
FBGN0001297	TRUE
FBGN0032820	TRUE
FBGN0029092	TRUE
FBGN0000286	TRUE
FBGN0036641	TRUE
FBGN0037678	TRUE
FBGN0023507	TRUE
FBGN0029664	TRUE
FBGN0263336	TRUE
FBGN0011674	TRUE
FBGN0026179	TRUE
FBGN0261444	TRUE
FBGN0003507	TRUE
FBGN0004652	TRUE
FBGN0020376	TRUE
FBGN0011710	TRUE
FBGN0033363	TRUE
FBGN0011606	TRUE
FBGN0030993	TRUE
FBGN0051637	TRUE
FBGN0034501	TRUE
FBGN0003891	TRUE
FBGN0031012	TRUE
FBGN0013548	TRUE
FBGN0002609	TRUE
FBGN0262081	TRUE
FBGN0052677	TRUE
FBGN0051361	TRUE
FBGN0010228	TRUE
FBGN0038290	TRUE
FBGN0035091	TRUE
FBGN0029114	TRUE
FBGN0026189	TRUE
FBGN0028939	TRUE
FBGN0063667	TRUE
FBGN0052311	TRUE
FBGN0031049	TRUE
FBGN0265419	TRUE
FBGN0042094	TRUE
FBGN0035523	TRUE
FBGN0028331	TRUE
FBGN0035165	TRUE
FBGN0033448	TRUE
FBGN0015801	TRUE
FBGN0250904	TRUE
FBGN0010300	TRUE
FBGN0038815	TRUE
FBGN0035390	TRUE
FBGN0033128	TRUE
FBGN0264895	TRUE
FBGN0033033	TRUE
FBGN0030863	TRUE
FBGN0033268	TRUE
FBGN0039869	TRUE
FBGN0052529	TRUE
FBGN0033402	TRUE
FBGN0032400	TRUE
FBGN0038049	TRUE
FBGN0003041	TRUE
FBGN0015522	TRUE
FBGN0000490	TRUE
FBGN0026372	TRUE
FBGN0031268	TRUE
